DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
129	-0.255813953488372	0.255813953488372	-0.317829457364341	0.317829457364341	0.325581395348837	0.674418604651163	0.27906976744186	0.744186046511628	0.333333333333333	0.65891472868217	0.302325581395349	0.689922480620155
130	-0.246153846153846	0.223076923076923	-0.323076923076923	0.3	0.330769230769231	0.653846153846154	0.284615384615385	0.692307692307692	0.330769230769231	0.676923076923077	0.284615384615385	0.761538461538461
131	-0.244274809160305	0.259541984732824	-0.320610687022901	0.320610687022901	0.32824427480916	0.656488549618321	0.282442748091603	0.717557251908397	0.320610687022901	0.66412213740458	0.251908396946565	0.717557251908397
132	-0.227272727272727	0.212121212121212	-0.333333333333333	0.272727272727273	0.333333333333333	0.666666666666667	0.287878787878788	0.704545454545455	0.348484848484849	0.659090909090909	0.287878787878788	0.704545454545455
133	-0.233082706766917	0.218045112781955	-0.308270676691729	0.270676691729323	0.338345864661654	0.661654135338346	0.270676691729323	0.699248120300752	0.338345864661654	0.661654135338346	0.293233082706767	0.706766917293233
134	-0.246268656716418	0.238805970149254	-0.365671641791045	0.313432835820895	0.328358208955224	0.656716417910448	0.283582089552239	0.708955223880597	0.328358208955224	0.67910447761194	0.276119402985075	0.73134328358209
135	-0.22962962962963	0.244444444444444	-0.303703703703704	0.325925925925926	0.325925925925926	0.659259259259259	0.266666666666667	0.703703703703704	0.333333333333333	0.674074074074074	0.266666666666667	0.725925925925926
136	-0.227941176470588	0.242647058823529	-0.294117647058824	0.279411764705882	0.330882352941176	0.661764705882353	0.279411764705882	0.698529411764706	0.338235294117647	0.661764705882353	0.279411764705882	0.720588235294118
137	-0.248175182481752	0.218978102189781	-0.313868613138686	0.262773722627737	0.328467153284672	0.64963503649635	0.277372262773723	0.722627737226277	0.335766423357664	0.671532846715328	0.284671532846715	0.708029197080292
138	-0.239130434782609	0.231884057971015	-0.318840579710145	0.318840579710145	0.340579710144928	0.659420289855073	0.297101449275362	0.710144927536232	0.333333333333333	0.673913043478261	0.27536231884058	0.72463768115942
139	-0.223021582733813	0.244604316546763	-0.273381294964029	0.309352517985611	0.338129496402878	0.669064748201439	0.280575539568345	0.726618705035971	0.323741007194245	0.654676258992806	0.280575539568345	0.719424460431655
140	-0.228571428571429	0.228571428571429	-0.3	0.3	0.328571428571429	0.664285714285714	0.271428571428571	0.7	0.328571428571429	0.65	0.271428571428571	0.692857142857143
141	-0.234042553191489	0.219858156028369	-0.290780141843972	0.262411347517731	0.326241134751773	0.666666666666667	0.269503546099291	0.709219858156028	0.340425531914894	0.659574468085106	0.283687943262411	0.709219858156028
142	-0.232394366197183	0.23943661971831	-0.302816901408451	0.323943661971831	0.338028169014085	0.669014084507042	0.302816901408451	0.71830985915493	0.338028169014085	0.669014084507042	0.295774647887324	0.697183098591549
143	-0.237762237762238	0.237762237762238	-0.328671328671329	0.321678321678322	0.321678321678322	0.657342657342657	0.265734265734266	0.699300699300699	0.321678321678322	0.664335664335664	0.258741258741259	0.706293706293706
144	-0.222222222222222	0.25	-0.319444444444444	0.326388888888889	0.340277777777778	0.6875	0.270833333333333	0.722222222222222	0.326388888888889	0.666666666666667	0.284722222222222	0.701388888888889
145	-0.227586206896552	0.241379310344828	-0.289655172413793	0.310344827586207	0.331034482758621	0.662068965517241	0.275862068965517	0.703448275862069	0.324137931034483	0.662068965517241	0.268965517241379	0.703448275862069
